EcosystemService,TotalMentions,TotalPeopleMentions
Entretien,18,14
Gestion,38,15
Espaces sauvages,27,13
Plantes comestibles,40,17
Fleurs,52,17
Couleurs,13,8
Odeur,19,12
Qualité de l’air,2,2
Refroidissement,59,25
Verdissement,66,26
Biodiversité,33,14
Arbres,58,20
Grands arbres,31,20
Soutien à la faune,48,18
Vignes,23,12
Espèces indigénes,8,4
Gestion des eaux pluviales,10,7
Surface perméable,3,2
Allergies,1,1
